Iteration,snowLayers,alb_method,kge,kgep,nse,mae,rmse
1,CLM_2010,conDecay,-0.47658842820044334,-0.40947660866931423,-0.19043653583389508,29.41637422630928,40.659445494833825
2,CLM_2010,varDecay,-0.4792135938260069,-0.41113420192340544,-0.1880431676476424,29.436258084266225,40.68866609134344
3,jrdn1991,conDecay,-0.47446542639689326,-0.4077880512139065,-0.1921716001102569,29.38806510907431,40.630982032978395
4,jrdn1991,varDecay,-0.47790655458495723,-0.41095753689616354,-0.19001720172776193,29.43720427754071,40.6809517265844
